2016-02-17 11:59:59,407.656005859375,416.3219909667969,421.1669921875,406.78399658203125
2016-04-02 11:59:59,418.4219970703125,420.87298583984375,422.08099365234375,418.4219970703125
2016-09-05 11:59:59,608.989990234375,606.5900268554688,609.0549926757812,602.2420043945312
2017-01-18 11:59:59,909.3729858398438,886.6179809570312,917.4990234375,858.3040161132812
2017-04-04 11:59:59,1145.52001953125,1133.25,1156.43994140625,1120.52001953125
2017-07-21 11:59:59,2838.409912109375,2667.760009765625,2838.409912109375,2621.85009765625
2017-09-28 11:59:59,4197.1298828125,4174.72998046875,4279.31005859375,4109.7001953125
2018-03-02 11:59:59,10977.400390625,11086.400390625,11189.0,10850.099609375
2018-04-21 11:59:59,8848.7900390625,8895.580078125,8997.5703125,8652.150390625
2018-05-21 11:59:59,8522.330078125,8418.990234375,8557.51953125,8365.1201171875
2018-07-18 11:59:59,7315.31982421875,7370.77978515625,7534.990234375,7280.47021484375
2018-08-29 11:59:59,7091.71,7047.16,7113.3,6970.82
2018-09-22 11:59:59,6735.05,6721.98,6814.56,6616.8
2018-09-28 11:59:59,6678.75,6644.13,6785.03,6598.32
2018-10-09 11:59:59,6653.08,6642.64,6661.41,6606.94
2019-01-07 11:59:59,4078.58505461,4025.24828708,4092.61343706,4020.89395079
2019-02-18 11:59:59,3671.36998898,3915.71447331,3936.66500089,3669.98232379
2019-07-19 11:59:59,10653.956443,10530.7326264,10716.9806727,10229.6289244
2019-08-04 11:59:59,10821.6329392,10970.1842157,11009.2069143,10620.2782517
2019-09-04 11:59:59,10621.1803306,10594.4933536,10762.6442123,10434.7103971
2019-10-27 11:59:59,9241.70707513,9551.7149631,9749.52966634,9112.54182017
2020-01-05 11:59:59,7410.45169373,7411.31732676,7544.49687224,7400.5355609
2020-04-17 11:59:59,7116.55260865,7096.18465879,7167.18298759,7050.33182989
2020-06-23 11:59:59,9644.07594221,9629.65836578,9670.54076171,9547.24708412
2020-07-22 11:59:59,9375.08046428,9525.36344997,9530.5190089,9319.65339503
2020-10-09 11:59:59,10927.91292433,11064.45759247,11102.67150545,10846.8504295
2021-05-01 11:59:59,57714.66485835,57828.05063222,58448.33881062,57052.2741756
